College Code,Category,Autonomous Status,Co.Ed Status,District,College Name,COURSE,TOTAL,OC,BC,BCM,MBC,SC,SCA,ST
3011,AU UNIV,Non Autonomous,Co.Ed,TRICHIRAPPALLI,University College of Engineering  Tiruchirappalli  (Bharathidasan Institute of Technology)  Tiruchirappalli District 620024,CS,118,36.58,31.27,4.13,23.6,17.7,3.54,1.18
3011,AU UNIV,Non Autonomous,Co.Ed,TRICHIRAPPALLI,University College of Engineering  Tiruchirappalli  (Bharathidasan Institute of Technology)  Tiruchirappalli District 620024,EC,118,36.58,31.27,4.13,23.6,17.7,3.54,1.18
3011,AU UNIV,Non Autonomous,Co.Ed,TRICHIRAPPALLI,University College of Engineering  Tiruchirappalli  (Bharathidasan Institute of Technology)  Tiruchirappalli District 620024,EE,118,36.58,31.27,4.13,23.6,17.7,3.54,1.18
3011,AU UNIV,Non Autonomous,Co.Ed,TRICHIRAPPALLI,University College of Engineering  Tiruchirappalli  (Bharathidasan Institute of Technology)  Tiruchirappalli District 620024,IT,117,36.27,31.005,4.095,23.4,17.55,3.51,1.17
3011,AU UNIV,Non Autonomous,Co.Ed,TRICHIRAPPALLI,University College of Engineering  Tiruchirappalli  (Bharathidasan Institute of Technology)  Tiruchirappalli District 620024,ME,117,36.27,31.005,4.095,23.4,17.55,3.51,1.17
3011,AU UNIV,Non Autonomous,Co.Ed,TRICHIRAPPALLI,University College of Engineering  Tiruchirappalli  (Bharathidasan Institute of Technology)  Tiruchirappalli District 620024,PC,59,18.29,15.635,2.065,11.8,8.85,1.77,0.59
3011,AU UNIV,Non Autonomous,Co.Ed,TRICHIRAPPALLI,University College of Engineering  Tiruchirappalli  (Bharathidasan Institute of Technology)  Tiruchirappalli District 620024,PH,59,18.29,15.635,2.065,11.8,8.85,1.77,0.59
3011,AU UNIV,Non Autonomous,Co.Ed,TRICHIRAPPALLI,University College of Engineering  Tiruchirappalli  (Bharathidasan Institute of Technology)  Tiruchirappalli District 620024,XC,59,18.29,15.635,2.065,11.8,8.85,1.77,0.59
3011,AU UNIV,Non Autonomous,Co.Ed,TRICHIRAPPALLI,University College of Engineering  Tiruchirappalli  (Bharathidasan Institute of Technology)  Tiruchirappalli District 620024,XM,59,18.29,15.635,2.065,11.8,8.85,1.77,0.59
3011 Total,,,,,,,1058,327.98,280.37,37.03,211.6,158.7,31.74,10.58
3016,AU UNIV,Non Autonomous,Co.Ed,ARIYALUR,University College of Engineering  Ariyalur  Kathankudikadu Village  Thelur Post  Ariyalur District 621704,CE,59,18.29,15.635,2.065,11.8,8.85,1.77,0.59
3016,AU UNIV,Non Autonomous,Co.Ed,ARIYALUR,University College of Engineering  Ariyalur  Kathankudikadu Village  Thelur Post  Ariyalur District 621704,CS,59,18.29,15.635,2.065,11.8,8.85,1.77,0.59
