College Code,Category,Autonomous Status,Co.Ed Status,District,College Name,COURSE,TOTAL,Processed
1509,MIN,Non Autonomous,Co.Ed,CHENNAI,Meenakshi College of Engineering  Vembuliamman Koil Street  K K Nagar (West)  Chennai 600078,EI,20,15091509
1509,MIN,Non Autonomous,Co.Ed,CHENNAI,Meenakshi College of Engineering  Vembuliamman Koil Street  K K Nagar (West)  Chennai 600078,IT,59,15091509
1509,MIN,Non Autonomous,Co.Ed,CHENNAI,Meenakshi College of Engineering  Vembuliamman Koil Street  K K Nagar (West)  Chennai 600078,ME,49,15091509
1509 Total,,,,,,,367,1509 Total1509 Total
1510,NM,Non Autonomous,Co.Ed,THIRUPATHUR,Priyadarshini Engineering College  Vaniyambadi Post  Thiruppattur District 635751,CE,38,15101510
1510,NM,Non Autonomous,Co.Ed,THIRUPATHUR,Priyadarshini Engineering College  Vaniyambadi Post  Thiruppattur District 635751,CS,58,15101510
1510,NM,Non Autonomous,Co.Ed,THIRUPATHUR,Priyadarshini Engineering College  Vaniyambadi Post  Thiruppattur District 635751,EC,39,15101510
1510,NM,Non Autonomous,Co.Ed,THIRUPATHUR,Priyadarshini Engineering College  Vaniyambadi Post  Thiruppattur District 635751,EE,38,15101510
1510,NM,Non Autonomous,Co.Ed,THIRUPATHUR,Priyadarshini Engineering College  Vaniyambadi Post  Thiruppattur District 635751,IT,38,15101510
1510,NM,Non Autonomous,Co.Ed,THIRUPATHUR,Priyadarshini Engineering College  Vaniyambadi Post  Thiruppattur District 635751,ME,38,15101510
1510 Total,,,,,,,249,1510 Total1510 Total
1511,NM,Non Autonomous,Co.Ed,RANIPET,Ranipettai Engineering College  Thenkadappanthangal  Ranipet District 632513,CE,35,15111511
1511,NM,Non Autonomous,Co.Ed,RANIPET,Ranipettai Engineering College  Thenkadappanthangal  Ranipet District 632513,CS,34,15111511
1511,NM,Non Autonomous,Co.Ed,RANIPET,Ranipettai Engineering College  Thenkadappanthangal  Ranipet District 632513,EC,48,15111511
1511,NM,Non Autonomous,Co.Ed,RANIPET,Ranipettai Engineering College  Thenkadappanthangal  Ranipet District 632513,EE,48,15111511
1511,NM,Non Autonomous,Co.Ed,RANIPET,Ranipettai Engineering College  Thenkadappanthangal  Ranipet District 632513,ME,67,15111511
1511 Total,,,,,,,232,1511 Total1511 Total
1512,MIN,Non Autonomous,Co.Ed,THIRUVANNAMALAI,S K P Engineering College  Thiruvannamalai District 606611,AD,29,15121512
1512,MIN,Non Autonomous,Co.Ed,THIRUVANNAMALAI,S K P Engineering College  Thiruvannamalai District 606611,CE,30,15121512
1512,MIN,Non Autonomous,Co.Ed,THIRUVANNAMALAI,S K P Engineering College  Thiruvannamalai District 606611,CS,59,15121512
1512,MIN,Non Autonomous,Co.Ed,THIRUVANNAMALAI,S K P Engineering College  Thiruvannamalai District 606611,EC,29,15121512
1512,MIN,Non Autonomous,Co.Ed,THIRUVANNAMALAI,S K P Engineering College  Thiruvannamalai District 606611,EE,29,15121512
1512,MIN,Non Autonomous,Co.Ed,THIRUVANNAMALAI,S K P Engineering College  Thiruvannamalai District 606611,IT,29,15121512
1512,MIN,Non Autonomous,Co.Ed,THIRUVANNAMALAI,S K P Engineering College  Thiruvannamalai District 606611,ME,30,15121512
1512,MIN,Non Autonomous,Co.Ed,THIRUVANNAMALAI,S K P Engineering College  Thiruvannamalai District 606611,SC,30,15121512
1512 Total,,,,,,,265,1512 Total1512 Total
1513,NM,Non Autonomous,Co.Ed,THIRUVANNAMALAI,Sri Balaji Chockalingam Engineering College  Arni  Thiruvannamalai District 632317,CS,38,15131513
1513,NM,Non Autonomous,Co.Ed,THIRUVANNAMALAI,Sri Balaji Chockalingam Engineering College  Arni  Thiruvannamalai District 632317,EC,49,15131513
1513,NM,Non Autonomous,Co.Ed,THIRUVANNAMALAI,Sri Balaji Chockalingam Engineering College  Arni  Thiruvannamalai District 632317,IT,38,15131513
1513 Total,,,,,,,125,1513 Total1513 Total
